387006,387006,22.3694977622,114.1143363775,172.1254852529
387007,387007,22.3694942918,114.1143546867,75.4738286889
387008,387008,22.3695553727,114.1143421161,89.3254175827
387009,387009,22.3686771596,114.1118418645,-529.6969083350
387010,387010,22.3695842112,114.1144373398,147.5878758147
387011,387011,-nan,-nan,-6292741.6544055268
387012,387012,22.3695171667,114.1142739083,96.7538454573
387013,387013,22.3695339054,114.1144649327,180.3839937274
387014,387014,22.3694928435,114.1143845402,189.5463033475
387015,387015,22.3695381430,114.1141321744,35.0277068875
387016,387016,22.3694803520,114.1145108315,249.2278350688
387017,387017,22.3694623027,114.1143828693,171.3869010893
387018,387018,-nan,-nan,-nan
387019,387019,22.3695035902,114.1146937095,306.9996472643
387020,387020,22.3693125450,114.1146797074,372.9700584139
387021,387021,22.3695127167,114.1144682739,166.2600945008
387022,387022,22.3695201067,114.1148225882,366.0772685134
387023,387023,22.3694710436,114.1148017205,364.8178925890
387024,387024,22.3694962841,114.1147460166,368.7686237570
387025,387025,22.3693458469,114.1145641278,315.8466318869
387026,387026,22.3696107977,114.1142370198,-5.1111169507
387027,387027,22.3695920235,114.1142855610,28.2787773232
387028,387028,22.3695903581,114.1142407855,-1.0305650806
387029,387029,22.3695695914,114.1142205113,-25.4739228187
387030,387030,22.3695064137,114.1144202912,112.7492243340
387031,387031,-nan,-nan,-6292741.6544055268
387032,387032,-nan,-nan,-6292741.6544055268
387033,387033,22.3694416834,114.1148683505,401.4604187477
387034,387034,22.3779386953,114.1150091128,5714.2898414004
387035,387035,22.3696856127,114.1143034634,101.6661964670
387036,387036,22.3697307538,114.1144568081,115.0393284781
387037,387037,22.3694372956,114.1146010118,223.3225017645
387038,387038,22.3696415915,114.1144258414,130.5413794770
387039,387039,-nan,-nan,-6292741.6544055268
387040,387040,-nan,-nan,-6292741.6544055268
387041,387041,-nan,-nan,-6292741.6544055268
387042,387042,-nan,-nan,-6292741.6544055268
387043,387043,-nan,-nan,-6292741.6544055268
387044,387044,-nan,-nan,-6292741.6544055268
387045,387045,-nan,-nan,-6292741.6544055268
387046,387046,-nan,-nan,-6292741.6544055268
387047,387047,-nan,-nan,-6292741.6544055268
387048,387048,-nan,-nan,-6292741.6544055268
387049,387049,-nan,-nan,-6292741.6544055268
387050,387050,22.3693787923,114.1149354301,301.5444757805
387051,387051,22.3694345241,114.1147620173,170.0970140839
387052,387052,-nan,-nan,-6292741.6544055268
387053,387053,-nan,-nan,-6292741.6544055268
387054,387054,-nan,-nan,-6292741.6544055268
387055,387055,-nan,-nan,-6292741.6544055268
387056,387056,-nan,-nan,-6292741.6544055268
387057,387057,-nan,-nan,-6292741.6544055268
387058,387058,-nan,-nan,-6292741.6544055268
387059,387059,-nan,-nan,-6292741.6544055268
387060,387060,-nan,-nan,-6292741.6544055268
387061,387061,-nan,-nan,-6292741.6544055268
387062,387062,-nan,-nan,-6292741.6544055268
387063,387063,-nan,-nan,-6292741.6544055268
387064,387064,20.2114826714,114.0014729758,-1124275.0720821184
387065,387065,-nan,-nan,-6292741.6544055268
387066,387066,-nan,-nan,-6292741.6544055268
387067,387067,-nan,-nan,-6292741.6544055268
387068,387068,-nan,-nan,-6292741.6544055268
387069,387069,-nan,-nan,-6292741.6544055268
387070,387070,-nan,-nan,-6292741.6544055268
387071,387071,18.3613678435,113.8966548109,-1795036.0177721654
387072,387072,18.0554193636,113.8788165112,-1888613.1783076988
387073,387073,17.7208228490,113.8592179011,-1986368.9518366496
387074,387074,21.5302606334,114.0730907862,-495781.7709496479
387075,387075,21.4661892164,114.0697528889,-530173.7761683085
387076,387076,21.3914941804,114.0657668303,-569772.0612536357
387077,387077,21.3297728195,114.0626045346,-601970.2559678372
387078,387078,-nan,-nan,-6292741.6544055268
387079,387079,22.4349024067,114.1183078324,43122.9328458879
387080,387080,-nan,-nan,-6292741.6544055268
387081,387081,-nan,-nan,-6292741.6544055268
387082,387082,22.3695208076,114.1148135381,100.0676424808
387083,387083,22.3693856592,114.1148225862,52.2976462004
387084,387084,22.3693192726,114.1148400776,3.0413834197
387085,387085,-nan,-nan,-6292741.6544055268
387086,387086,-nan,-nan,-6292741.6544055268
387087,387087,-nan,-nan,-6292741.6544055268
387088,387088,22.3692501054,114.1149893677,25.2376636647
387089,387089,-nan,-nan,-6292741.6544055268
387090,387090,22.3693045296,114.1150019442,36.4263629388
387091,387091,-nan,-nan,-6292741.6544055268
387092,387092,22.3693032724,114.1150627245,76.2954433144
387093,387093,22.3691659501,114.1150522657,8.8123069919
387094,387094,-nan,-nan,-6292741.6544055268
387095,387095,-nan,-nan,-6292741.6544055268
387096,387096,-nan,-nan,-6292741.6544055268
387097,387097,-nan,-nan,-6292741.6544055268
387098,387098,-nan,-nan,-6292741.6544055268
387099,387099,-nan,-nan,-6292741.6544055268
387100,387100,-nan,-nan,-6292741.6544055268
387101,387101,-nan,-nan,-6292741.6544055268
387102,387102,-nan,-nan,-6292741.6544055268
387103,387103,-nan,-nan,-6292741.6544055268
387104,387104,-nan,-nan,-6292741.6544055268
387105,387105,-nan,-nan,-6292741.6544055268
387106,387106,-nan,-nan,-6292741.6544055268
387107,387107,-nan,-nan,-6292741.6544055268
387108,387108,-nan,-nan,-6292741.6544055268
387109,387109,-nan,-nan,-6292741.6544055268
387110,387110,-nan,-nan,-6292741.6544055268
387111,387111,-nan,-nan,-6292741.6544055268
387112,387112,22.3690559577,114.1151643705,-51.7511976944
387113,387113,-nan,-nan,-6292741.6544055268
387114,387114,22.3689956579,114.1151387385,-41.8318229997
387115,387115,22.3689786851,114.1151307540,-47.3841607255
387116,387116,22.3689927309,114.1151225686,-57.0416789106
387117,387117,-nan,-nan,-6292741.6544055268
387118,387118,22.3690986357,114.1151264706,-128.3678408415
387119,387119,22.3691685552,114.1158888865,803.3412495590
387120,387120,-nan,-nan,-6292741.6544055268
387121,387121,-nan,-nan,-6292741.6544055268
387122,387122,-nan,-nan,-6292741.6544055268
387123,387123,-nan,-nan,-6292741.6544055268
387124,387124,-nan,-nan,-6292741.6544055268
387125,387125,-nan,-nan,-6292741.6544055268
387126,387126,-nan,-nan,-6292741.6544055268
387127,387127,-nan,-nan,-6292741.6544055268
387128,387128,22.3691424616,114.1150648483,-138.5856489966
387129,387129,-nan,-nan,-6292741.6544055268
387130,387130,-nan,-nan,-6292741.6544055268
387131,387131,-nan,-nan,-6292741.6544055268
