GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
377166.00000000,31.24075441,121.50287439,15.28600000,0.01100000,0.00700000,0.01600000
377167.00000000,31.24075440,121.50287438,15.29700000,0.01100000,0.00700000,0.01600000
377168.00000000,31.24075441,121.50287446,15.29200000,0.01100000,0.00700000,0.01600000
377169.00000000,31.24075440,121.50287451,15.29500000,0.01100000,0.00700000,0.01600000
377170.00000000,31.24075432,121.50287455,15.29800000,0.01100000,0.00700000,0.01600000
377171.00000000,31.24075433,121.50287456,15.29700000,0.01100000,0.00700000,0.01600000
377172.00000000,31.24075433,121.50287458,15.29400000,0.01100000,0.00700000,0.01600000
377173.00000000,31.24075430,121.50287457,15.29700000,0.01100000,0.00700000,0.01600000
377174.00000000,31.24075421,121.50287442,15.29800000,0.01100000,0.00700000,0.01600000
377175.00000000,31.24075415,121.50287444,15.29800000,0.01100000,0.00700000,0.01600000
377176.00000000,31.24075415,121.50287444,15.29800000,0.01100000,0.00700000,0.01600000
377177.00000000,31.24075415,121.50287445,15.29800000,0.01100000,0.00700000,0.01600000
377178.00000000,31.24075411,121.50287452,15.30100000,0.01100000,0.00800000,0.01600000
377179.00000000,31.24075423,121.50287453,15.29700000,0.01100000,0.00800000,0.01600000
377180.00000000,31.24075415,121.50287461,15.28800000,0.01100000,0.00900000,0.01600000
377181.00000000,31.24075411,121.50287467,15.28100000,0.01100000,0.00900000,0.01600000
377182.00000000,31.24075406,121.50287466,15.27700000,0.01100000,0.00900000,0.01600000
377183.00000000,31.24075406,121.50287466,15.27700000,0.01100000,0.00900000,0.01600000
377184.00000000,31.24075404,121.50287463,15.27900000,0.01100000,0.00900000,0.01600000
377185.00000000,31.24075399,121.50287458,15.28100000,0.01100000,0.00800000,0.01600000
377186.00000000,31.24075399,121.50287458,15.28100000,0.01100000,0.00800000,0.01600000
377187.00000000,31.24075399,121.50287458,15.28100000,0.01100000,0.00800000,0.01600000
377188.00000000,31.24075399,121.50287458,15.28100000,0.01100000,0.00800000,0.01600000
377189.00000000,31.24075403,121.50287450,15.28500000,0.01100000,0.00800000,0.01600000
377190.00000000,31.24075400,121.50287432,15.29200000,0.01100000,0.00800000,0.01600000
377191.00000000,31.24075405,121.50287436,15.29500000,0.01100000,0.00800000,0.01600000
377192.00000000,31.24075424,121.50287428,15.29900000,0.01100000,0.00700000,0.01600000
377193.00000000,31.24075479,121.50287404,15.30300000,0.01100000,0.00700000,0.01600000
377194.00000000,31.24075469,121.50287412,15.29700000,0.01100000,0.00700000,0.01600000
377195.00000000,31.24075459,121.50287415,15.29600000,0.01100000,0.00700000,0.01600000
377196.00000000,31.24075458,121.50287415,15.29800000,0.01100000,0.00700000,0.01600000
377197.00000000,31.24075450,121.50287408,15.31100000,0.01100000,0.00700000,0.01600000
377198.00000000,31.24075442,121.50287401,15.32500000,0.01100000,0.00700000,0.01600000
377199.00000000,31.24075435,121.50287387,15.34500000,0.01100000,0.00700000,0.01700000
377200.00000000,31.24075408,121.50287402,15.35300000,0.01100000,0.00800000,0.01800000
377201.00000000,31.24075308,121.50287428,15.35100000,0.01200000,0.00900000,0.01900000
