184444,184444,-nan,-nan,-6292741.6544055268
184445,184445,-nan,-nan,-6292741.6544055268
184446,184446,-nan,-nan,-6292741.6544055268
184875,184875,31.1649208738,121.0867973031,167607.4136152886
184877,184877,31.1669512906,121.0884230688,167590.1597986388
184878,184878,31.1571488090,121.0877973598,170203.0297597002
184879,184879,31.1566164341,121.0849575681,170098.2079194301
184880,184880,31.1571966253,121.0893361002,169927.8306072910
184881,184881,31.1575274534,121.0874967037,169878.9377095806
184883,184883,31.1713589840,121.0838354632,166038.8028051150
184884,184884,31.1714595926,121.0897254187,166028.2031553382
184885,184885,31.1585694262,121.0880050453,169350.1802256363
184886,184886,31.1574003621,121.0877622262,169756.8283484958
184887,184887,31.0395342528,121.2072603916,164297.2536228565
184888,184888,31.0305487074,121.2621491442,166981.4628808165
184889,184889,31.0436867242,121.2660450044,168098.0971161262
184891,184891,31.0490266251,121.2160127515,160074.0784531588
184893,184893,31.0838154441,121.2380340569,145298.1943518654
184894,184894,31.1706387626,121.0753885305,165028.9418815053
184895,184895,31.0103727584,121.3066678491,166254.4132456677
184896,184896,31.0505218324,121.2853589286,138985.1718526351
184897,184897,31.0253100853,121.3011659472,145698.1359067027
184898,184898,30.9693728517,121.3217865228,174905.6507692301
184899,184899,31.0110848999,121.2889934291,150488.5135419128
184900,184900,31.0299311853,121.2890886443,141413.0531661936
184901,184901,30.9900348483,121.3073051731,167870.2097484373
184902,184902,31.0110305565,121.3101038644,160122.2681384161
184903,184903,31.0068141156,121.2905166850,157439.4192703979
184906,184906,31.0244104356,121.3108838842,150966.8349527628
184907,184907,30.9953937686,121.3167596651,153811.6331574392
184909,184909,31.0105803944,121.3113357175,153545.6164314868
184910,184910,30.9474584391,121.3315071622,177114.2690523042
184911,184911,31.0234610558,121.2787263323,147216.8014907522
184912,184912,31.0219836494,121.3013795482,153462.1900231012
184913,184913,31.0091564235,121.3047980153,158468.7130462603
184914,184914,30.9509632727,121.3204056957,176734.7787428029
184915,184915,30.9709084300,121.3252602097,170959.0088157336
184918,184918,30.9982662330,121.2590943437,159784.7084584986
184919,184919,30.9493473452,121.3094083004,179140.1462592323
184920,184920,31.0099154229,121.2610413488,158405.7053778180
184921,184921,31.0474271259,121.2895517523,136711.3625380341
184922,184922,31.0000174283,121.2815576921,152057.7645408055
184923,184923,30.9531183336,121.3028275482,177600.4398242110
184924,184924,30.9502333581,121.2998998526,176373.0268404957
184925,184925,30.9668540228,121.3142654630,167903.7627477138
184926,184926,30.9847393381,121.3242664111,150493.9274393206
184927,184927,31.0257548829,121.3103202735,135524.4902999840
184928,184928,31.0276572526,121.2770535526,143747.5373520609
184929,184929,30.9982235173,121.2741496713,153376.6257452888
184930,184930,31.0461602048,121.3051529900,131276.6973997394
184932,184932,31.0408437953,121.2755137827,147744.0741623862
184933,184933,31.0368197800,121.2816472027,143757.3844031046
184934,184934,31.0415235741,121.3008510878,136699.0523181490
184935,184935,31.0308847434,121.2630725052,156779.6116012465
184936,184936,31.0385926533,121.2729516735,148486.8042650589
184937,184937,31.0391636148,121.3006661342,136127.1520723436
184938,184938,31.0357804141,121.3044015165,135273.8594755064
184940,184940,31.0608375969,121.3018748770,128620.5818017908
184941,184941,31.0630186481,121.3007014922,131870.1172266708
184942,184942,31.0517600591,121.2955307696,133826.8748671045
184943,184943,31.0403247249,121.2963688195,128583.2245019655
184945,184945,31.0761244275,121.3238321593,118708.9194225632
184946,184946,31.0492239860,121.2996256567,129475.4587487251
184947,184947,31.0834551319,121.3345807090,111809.7838399436
184949,184949,31.0657757443,121.3055919452,124829.7063684483
184951,184951,31.0671538971,121.3057563993,122260.0815071333
184952,184952,31.0993166456,121.3187164889,111379.4369511287
184953,184953,31.1033859844,121.3544899430,96678.2459831325
184954,184954,31.1057012852,121.3547929655,95061.7541997322
184955,184955,31.0915843761,121.3659048572,94057.7042747169
184957,184957,31.1011165882,121.3708688965,88799.8620949356
184958,184958,31.1274762123,121.3641535897,86838.7268692451
184959,184959,31.1131719820,121.3405985606,97428.8764728334
184960,184960,31.2328285664,121.5312565024,17.6791256138
184961,184961,31.2328066589,121.5312889262,16.5137320999
184962,184962,31.1186336996,121.3643813052,93778.3384472392
184963,184963,31.1187074437,121.3645308543,94371.6067648174
184965,184965,31.2328222481,121.5313192041,12.7937035043
184966,184966,31.2327950574,121.5313111673,14.4580488315
184967,184967,31.1240215365,121.3626139325,112479.8988223247
184968,184968,31.2327986055,121.5313084973,-28.9406063531
