GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
110701.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110702.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110703.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110704.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110705.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110706.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110707.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110708.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110709.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110710.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110711.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110712.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110713.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110714.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110715.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110716.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110717.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110718.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110719.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110720.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110721.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110722.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110723.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110724.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110725.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110726.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110727.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110728.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110729.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110730.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110731.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110732.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110733.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110734.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110735.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110736.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110737.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110738.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110739.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110740.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110741.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110742.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
110743.00000000,34.19628721,108.83710922,370.72700000,0.06800000,0.04700000,0.07200000
