GPS Time(s),Lat(deg),Lon(deg),height(m),SD_E(m),SD_N(m),SD_U(m)
187660.00000000,31.22643096,121.52893269,16.85100000,0.08500000,0.07000000,0.11800000
187661.00000000,31.22644149,121.52894080,16.85400000,0.07200000,0.05800000,0.11200000
187662.00000000,31.22645170,121.52894925,16.86800000,0.06200000,0.04800000,0.10900000
187663.00000000,31.22646135,121.52895828,16.86000000,0.05500000,0.04000000,0.10600000
187664.00000000,31.22647075,121.52896756,16.85300000,0.05100000,0.03500000,0.10500000
187665.00000000,31.22647985,121.52897674,16.85600000,0.04800000,0.03200000,0.10500000
187666.00000000,31.22648909,121.52898572,16.85500000,0.04700000,0.03100000,0.10400000
187667.00000000,31.22649885,121.52899381,16.83000000,0.04700000,0.03100000,0.10400000
187668.00000000,31.22650831,121.52900224,16.81100000,0.04700000,0.03100000,0.10400000
187669.00000000,31.22651820,121.52900974,16.78900000,0.04600000,0.03000000,0.10300000
187670.00000000,31.22652833,121.52901606,16.76200000,0.04000000,0.02400000,0.09700000
187671.00000000,31.22653867,121.52902255,16.73600000,0.03500000,0.02100000,0.09200000
187672.00000000,31.22654919,121.52902902,16.73000000,0.03200000,0.01800000,0.08800000
187673.00000000,31.22655919,121.52903561,16.70000000,0.02900000,0.01700000,0.08500000
187674.00000000,31.22656887,121.52904245,16.68100000,0.02700000,0.01600000,0.08300000
187675.00000000,31.22657858,121.52904891,16.65200000,0.02700000,0.01600000,0.08200000
187676.00000000,31.22658795,121.52905587,16.62200000,0.02700000,0.01700000,0.08100000
187677.00000000,31.22659706,121.52906356,16.59100000,0.02900000,0.01900000,0.07900000
187678.00000000,31.22660577,121.52907195,16.55200000,0.02800000,0.01900000,0.07700000
187679.00000000,31.22661452,121.52908035,16.51200000,0.02600000,0.01700000,0.07400000
187680.00000000,31.22662301,121.52908948,16.44700000,0.02400000,0.01500000,0.07100000
187681.00000000,31.22663124,121.52909876,16.39400000,0.02300000,0.01500000,0.06700000
187682.00000000,31.22663920,121.52910819,16.32800000,0.02300000,0.01500000,0.06400000
187683.00000000,31.22664669,121.52911752,16.25200000,0.02200000,0.01500000,0.06000000
187684.00000000,31.22665441,121.52912653,16.21000000,0.02200000,0.01500000,0.05700000
187685.00000000,31.22666209,121.52913521,16.15600000,0.02300000,0.01700000,0.05300000
187686.00000000,31.22666895,121.52914428,16.07100000,0.02700000,0.02000000,0.04900000
187687.00000000,31.22667328,121.52915423,15.99100000,0.02700000,0.02000000,0.04500000
187688.00000000,31.22667667,121.52916290,15.90300000,0.02400000,0.01900000,0.04100000
187689.00000000,31.22667828,121.52916901,15.90300000,0.02100000,0.01600000,0.03800000
187690.00000000,31.22668159,121.52916901,15.89700000,0.01900000,0.01500000,0.03500000
187691.00000000,31.22668171,121.52916994,15.87400000,0.01900000,0.01400000,0.03300000
187692.00000000,31.22668311,121.52916872,15.84100000,0.01800000,0.01400000,0.03200000
187693.00000000,31.22668655,121.52916686,15.86600000,0.01800000,0.01400000,0.03100000
187694.00000000,31.22668736,121.52916660,15.85600000,0.01800000,0.01400000,0.03000000
187695.00000000,31.22668956,121.52916704,15.82300000,0.01700000,0.01400000,0.02900000
187696.00000000,31.22668698,121.52916775,15.86100000,0.01700000,0.01400000,0.02800000
187697.00000000,31.22668498,121.52916972,15.84100000,0.01600000,0.01400000,0.02800000
187698.00000000,31.22668514,121.52916917,15.82500000,0.01600000,0.01400000,0.02700000
187699.00000000,31.22668906,121.52916696,15.84800000,0.01600000,0.01400000,0.02700000
187700.00000000,31.22668997,121.52916706,15.81500000,0.01500000,0.01400000,0.02700000
187701.00000000,31.22668971,121.52916717,15.82200000,0.01500000,0.01400000,0.02600000
187702.00000000,31.22668892,121.52916745,15.85900000,0.01500000,0.01400000,0.02600000
187703.00000000,31.22668694,121.52916802,15.85900000,0.01500000,0.01400000,0.02600000
187704.00000000,31.22668619,121.52916864,15.86100000,0.01500000,0.01300000,0.02600000
187705.00000000,31.22668459,121.52917000,15.85600000,0.01500000,0.01300000,0.02500000
187706.00000000,31.22668345,121.52917072,15.87900000,0.01500000,0.01300000,0.02500000
187707.00000000,31.22668285,121.52917242,15.87900000,0.01400000,0.01300000,0.02400000
187708.00000000,31.22668170,121.52917379,15.87700000,0.01400000,0.01300000,0.02400000
187709.00000000,31.22668173,121.52917575,15.87800000,0.01400000,0.01200000,0.02300000
187710.00000000,31.22668176,121.52917568,15.88300000,0.01300000,0.01200000,0.02200000
187711.00000000,31.22668172,121.52917551,15.88600000,0.01200000,0.01100000,0.02100000
187712.00000000,31.22668134,121.52917369,15.90100000,0.01100000,0.01000000,0.02000000
187713.00000000,31.22668194,121.52917289,15.89900000,0.01100000,0.01000000,0.02000000
187714.00000000,31.22668189,121.52917236,15.91400000,0.01100000,0.01000000,0.01900000
187715.00000000,31.22668181,121.52917216,15.91800000,0.01000000,0.00900000,0.01800000
187716.00000000,31.22668165,121.52917196,15.91700000,0.01000000,0.00900000,0.01800000
187717.00000000,31.22668165,121.52917190,15.91700000,0.01000000,0.00900000,0.01700000
187718.00000000,31.22668156,121.52917195,15.91900000,0.01000000,0.00900000,0.01700000
187719.00000000,31.22668158,121.52917217,15.92000000,0.01000000,0.00900000,0.01700000
187720.00000000,31.22668176,121.52917260,15.92100000,0.01000000,0.00900000,0.01700000
187721.00000000,31.22668173,121.52917344,15.91900000,0.01000000,0.00900000,0.01700000
187722.00000000,31.22668200,121.52917566,15.91000000,0.01000000,0.00900000,0.01700000
187723.00000000,31.22668212,121.52917553,15.91300000,0.01000000,0.00900000,0.01700000
187724.00000000,31.22668239,121.52917647,15.91100000,0.01000000,0.00900000,0.01700000
187725.00000000,31.22668259,121.52917810,15.90800000,0.01000000,0.00900000,0.01700000
187726.00000000,31.22668286,121.52917935,15.91100000,0.01000000,0.00900000,0.01700000
187727.00000000,31.22668308,121.52917939,15.90600000,0.01000000,0.00900000,0.01700000
187728.00000000,31.22668346,121.52917869,15.91000000,0.01000000,0.00900000,0.01700000
187729.00000000,31.22668419,121.52918008,15.89200000,0.01000000,0.00900000,0.01700000
187730.00000000,31.22668418,121.52917991,15.88600000,0.01000000,0.00900000,0.01800000
187731.00000000,31.22668414,121.52917979,15.88600000,0.01100000,0.01000000,0.01800000
187732.00000000,31.22668420,121.52917989,15.88600000,0.01100000,0.01000000,0.01800000
187733.00000000,31.22668420,121.52917969,15.88900000,0.01100000,0.01000000,0.01800000
187734.00000000,31.22668407,121.52917924,15.90200000,0.01200000,0.01100000,0.01900000
187735.00000000,31.22668397,121.52917847,15.91200000,0.01200000,0.01100000,0.01900000
187736.00000000,31.22668347,121.52917682,15.93500000,0.01200000,0.01100000,0.01900000
187737.00000000,31.22668420,121.52917316,15.95900000,0.01200000,0.01100000,0.01900000
187738.00000000,31.22668428,121.52917198,15.93400000,0.01200000,0.01100000,0.01900000
187739.00000000,31.22668406,121.52917116,15.93600000,0.01200000,0.01100000,0.01900000
187740.00000000,31.22668408,121.52917070,15.93500000,0.01100000,0.01000000,0.01800000
187741.00000000,31.22668401,121.52917041,15.93100000,0.01100000,0.01000000,0.01800000
187742.00000000,31.22668395,121.52917019,15.93000000,0.01000000,0.00900000,0.01700000
