377089,377089,-nan,-nan,-6292741.6544055268
377487,377487,31.2409291466,121.4990111511,245.6928982514
377488,377488,31.2412512831,121.4998685333,54.6531796944
377491,377491,31.2411981946,121.4998106259,58.0418156297
377492,377492,31.2410579570,121.4995200366,52.7674914920
377496,377496,31.2412518492,121.4998472024,30.8728337516
377500,377500,31.2412540347,121.4998323534,26.9126452530
377501,377501,31.2412467195,121.4997267208,81.0959203205
377502,377502,31.2411406680,121.4995599434,59.3957850964
377503,377503,31.2411107787,121.4994629760,65.1464905840
377505,377505,31.2411505978,121.4993832835,65.4854129877
377506,377506,31.2412140278,121.4994285270,74.4632693696
377509,377509,31.2412431994,121.4994243747,72.2400341969
377510,377510,31.2412621254,121.4993964834,77.6992042413
377514,377514,31.2412858763,121.4994129418,74.1253940529
377515,377515,31.2412647848,121.4993301840,68.2632238331
377518,377518,31.2413545709,121.4993531699,82.6840894312
377519,377519,31.2421238009,121.4993156425,166.0354407501
377520,377520,31.2416330434,121.4992251432,106.5967909545
377521,377521,31.2418530630,121.4994600365,128.4717313281
377524,377524,31.2414999142,121.4992825003,82.6962081184
377525,377525,31.2419448038,121.4995252536,130.8952185627
377528,377528,31.2417964756,121.4993948228,96.8237043801
377529,377529,31.2417622145,121.4993772224,87.8815704317
377532,377532,31.2419592601,121.4994677208,115.5735621468
377533,377533,31.2417920966,121.4995770300,63.6590188774
377537,377537,31.2418359768,121.4993379968,95.7574879516
377538,377538,31.2418903099,121.4994193172,83.8468288675
377542,377542,31.2419074574,121.4993360846,96.6804100079
377543,377543,31.2420463943,121.4993964163,128.6588289108
377544,377544,31.2419758887,121.4994612022,126.7662233774
377547,377547,31.2425174179,121.4995472459,220.9447621999
377548,377548,31.2431230826,121.4991109120,310.9072708589
377551,377551,31.2432433999,121.4990786432,317.6680980540
377552,377552,31.2423110676,121.4992577748,183.3869769645
377555,377555,31.2423151459,121.4991693817,185.6811724267
377559,377559,31.2421774840,121.4990998646,126.3184025423
377560,377560,31.2422921581,121.4993676012,139.6080243570
377563,377563,31.2421197359,121.4992337278,137.2331918971
377564,377564,31.2424013073,121.4990646460,170.6847504761
377567,377567,31.2421885024,121.4990884294,139.4853794437
377568,377568,31.2423844635,121.4991917882,122.1930827543
377571,377571,31.2420808952,121.4992072705,68.4931739778
377572,377572,31.2421973064,121.4990970111,136.2107726018
377576,377576,31.2422038404,121.4991955655,119.6032495613
377577,377577,31.2421780225,121.4991774819,116.3348935073
377582,377582,31.2422921750,121.4988702885,121.8567119453
377583,377583,31.2421339394,121.4988808970,135.2183312104
377585,377585,31.2423119838,121.4988136610,146.2847101846
377586,377586,31.2420953224,121.4990792391,113.4537428638
377590,377590,31.2422698659,121.4988583828,149.8713784060
377591,377591,31.2422103147,121.4989104066,130.4806827300
377596,377596,31.2421494604,121.4988730555,122.0539125021
377597,377597,31.2420207935,121.4988686916,118.0767854910
377600,377600,31.2419957778,121.4987431896,67.4870341785
377601,377601,31.2419193751,121.4990044360,87.8182582227
377604,377604,31.2418810175,121.4990304764,83.9618271672
377605,377605,31.2418294924,121.4985499909,83.1943012253
377608,377608,31.2418329106,121.4988821114,103.0796362423
377609,377609,31.2418596170,121.4988574422,92.8009724680
377612,377612,31.2418979162,121.4989835476,92.0378868975
377613,377613,31.2418865364,121.4990825334,100.6456774551
377616,377616,31.2417109381,121.4991662894,92.3935396837
377617,377617,31.2418163640,121.4991355102,98.9144158701
377620,377620,31.2419763456,121.4991679045,102.0883402036
377621,377621,31.2418248841,121.4992584745,89.8270683085
377624,377624,31.2418728757,121.4992119530,113.2528225744
377625,377625,31.2418907021,121.4991443464,113.7854732751
377629,377629,31.2417070980,121.4989045830,67.1712264130
377630,377630,31.2416391799,121.4988581596,64.1304419386
377634,377634,31.2415523736,121.4990895557,89.5138106417
377635,377635,31.2416442551,121.4989849700,97.3675138652
377639,377639,31.2416437099,121.4989550694,113.0534412707
377640,377640,31.2416140834,121.4988960119,117.2775752879
377643,377643,31.2416127320,121.4989254936,128.3834006220
377644,377644,31.2414805352,121.4989551596,163.8920477063
377647,377647,31.2414393310,121.4988993200,152.7044502186
377648,377648,31.2414702422,121.4990531142,133.6072952760
377651,377651,31.2413663388,121.4991771053,102.7632591507
377652,377652,31.2411848649,121.4992680936,87.3897148834
377655,377655,31.2413660400,121.4993480773,99.4111270619
377656,377656,31.2411737549,121.4993299662,76.7973524393
377660,377660,31.2413131988,121.4993069898,92.7982486869
377661,377661,31.2412814261,121.4993392741,84.5898241638
377666,377666,31.2411916585,121.4993313170,117.9918669302
377667,377667,31.2411594782,121.4994167214,82.9919940010
377669,377669,31.2411771565,121.4994481390,104.2940747937
377670,377670,31.2411512871,121.4995117078,159.0193236880
377673,377673,31.2411387929,121.4996503918,119.8040769700
377674,377674,31.2412832760,121.4999428362,139.5140231499
